taxonID	acceptedNameUsageID	taxonomicStatus	family	genus	specificEpithet	infraspecificEpithet	scientificName	taxonRank	scientificNameAuthorship	nameAccordingTo	nameAccordingToID	scientificNameID	namePublishedIn	references
kew-2434164		accepted	Combretaceae	Terminalia	yapacana		Terminalia yapacana	species	Maguire	WCSP (in review)		urn:lsid:ipni.org:names:250590-2		
tro-50309106	kew-2431324	synonym	Combretaceae	Terminalia	zeylanica		Terminalia zeylanica	species	Van Heurck & Müll. Arg.	TRO	50309106			
kew-2434166		doubtful	Combretaceae	Terminalia	zollingeri		Terminalia zollingeri	species	Exell	WCSP (in review)		urn:lsid:ipni.org:names:171465-1		
tro-1301221		accepted	Anacardiaceae	Terminthia	paniculata		Terminthia paniculata	species	(Wall. ex G. Don) C.Y. Wu & T.L. Ming	TRO	1301221	urn:lsid:ipni.org:names:71644-1		
kew-2514851		doubtful	Rutaceae	Terminthodia	lanceolata		Terminthodia lanceolata	species	Lauterb.	WCSP (in review)		urn:lsid:ipni.org:names:775342-1		
kew-2514850		doubtful	Rutaceae	Terminthodia	obovata		Terminthodia obovata	species	Lauterb.	WCSP (in review)		urn:lsid:ipni.org:names:775343-1		
kew-2514849		doubtful	Rutaceae	Terminthodia	oppositifolia		Terminthodia oppositifolia	species	Ridl.	WCSP (in review)		urn:lsid:ipni.org:names:775344-1	Ridley HN (1916) I. Report on the Botany of the Wollaston Expedition to Dutch New Guinea, 1912-13. Transactions of the Linnean Society of London. 2nd Series: Botany 9(1): 1-269. doi: 10.1111/j.1095-8339.1916.tb00009.x.	http://doi.org/10.1111/j.1095-8339.1916.tb00009.x
kew-2514848		doubtful	Rutaceae	Terminthodia	orbiculata		Terminthodia orbiculata	species	Markgr.	WCSP (in review)		urn:lsid:ipni.org:names:775345-1		
kew-2514847		doubtful	Rutaceae	Terminthodia	rotundifolia		Terminthodia rotundifolia	species	Ridl.	WCSP (in review)		urn:lsid:ipni.org:names:775346-1		
kew-2514846		doubtful	Rutaceae	Terminthodia	schultzei-leonhardii		Terminthodia schultzei-leonhardii	species	Lauterb.	WCSP (in review)		urn:lsid:ipni.org:names:775347-1		
kew-2514834		doubtful	Rutaceae	Terminthodia	treubiana		Terminthodia treubiana	species	Lauterb.	WCSP (in review)		urn:lsid:ipni.org:names:775348-1		
